"","Name1","score","score.1","score.2","score.3","score.4","score.5","score.6","score.7","score.8","score.9","score.10","score.11","score.12","score.13","score.14","score.15","score.16","score.17","score.18"
"1","MRC-18A-2045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","MRC-18A-2372",0.0431238266115876,0.0491780877095722,0.0760186319737039,-0.0755083803255932,0.0380826689135589,0.031501210117047,0.0516946706802848,0.0684155489754833,0.00508381025507077,0.0416883029893406,0.0278861531451633,0.0305676875812196,0.0119927531154399,0.0219975177560158,0.0371117727652976,0.0478808884913161,0.0400702060456882,0.0458707724814708,0.00767358582195439
"3","MRC-18A-2376",0.0415875711878273,0.0366570491369794,0.00201492406610155,0.00951502444583593,0.0269540897439516,0.0284336132124551,0.0361945870984671,0.081526648800325,0.0119705277868383,0.044330879787776,0.0368031496067906,0.0238250249836713,0.000217636352389409,0.015992087709845,0.0259733999365231,0.0403030184841868,0.0197047240699425,0.0374340416161012,0.0766485261837558
"4","MRC-17A-1027",0.0419050346796701,0.0438254275136129,0.0102487064825437,0.0116929542681354,0.026839466886777,0.0308823260663394,0.0350979518916441,0.0515744394194433,0.0123717113455769,0.0400314848629376,0.0384661586289714,0.0368432908430672,0.00893519972732068,0.0202368496524568,0.032188365941566,0.0441159122291902,0.030602920895835,0.0333119429488078,0.0237623007860148
"5","MRC-17A-1045",0.0477384801852703,0.0492220031433392,0.0612343047502018,0.00748362458453952,0.0287565872147628,0.0289605498833911,0.03995737518728,0.0907827161811092,0.0104252826461854,0.046359470597566,0.0368175473874044,0.0325710456554192,-0.00250673836409948,0.0171052393738433,0.0306676137407196,0.0398503413154536,0.0297745673215031,0.0376357729424516,0.0161100914787602
"6","MRC-18A-1356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","MRC-18A-1813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","MRC-18A-1819",0.0308828337378507,0.0399607392290887,-0.00109777082638565,0.0118734666105864,0.0249380265909072,0.0298178661938534,0.0346587965901933,0.0638335328840319,0.00916934567738902,0.0427882319840112,0.0360958288307976,0.025279715866634,0.00401373745223491,0.0155086409271539,0.0312327992616179,0.0421163038460599,0.0341084984318464,0.0290253198833933,0.0169170253568599
"9","MRC-18A-1821",1.03554890918889,0.490648573471243,0.263042965408233,0.160666774105615,0.531462467701872,0.309503227417241,0.791210957698153,0.789814766150546,0.295795575881685,0.209016026012166,0.306825484725115,0.47066005808799,0.462473485655223,0.272774180351373,NA,NA,0.160789246992847,0.594755462906332,0.284096171228343
"10","MRC-18A-2043",0.0476855239133441,0.044425629767249,0.0586716708465454,0.0119270997990416,0.0268956299445389,0.0295440486607444,0.0433584116746692,0.0866454107382442,0.00946533393813578,0.0394032296345715,0.0346564274498126,0.0233978458512462,0.00537329746750216,0.0232452212812546,0.032029044151699,0.039831442661452,0.028892456782212,0.0243097734748401,0.0048563300797358
"11","MRC-18A-3529",0.037262855680528,0.0506229300916555,0.00551591017258433,0.00750985917548182,0.0213994320916939,0.0293439720235893,0.0618841062379931,0.200042697070114,0.0157182885668474,0.0516212357108918,0.0177457350506076,0.0197672702090775,0.00551866127193001,0.0256741862974746,0.030433139262705,0.0622326533926239,0.0354515522241419,0.0415910357516252,0.0289427963374461
"12","MRC-18A-3811",0.0437956469305377,0.0297288801489351,0.0673609971567988,0.0138038247440306,0.0278354792379684,0.0259937609768964,0.0304056354229304,0.0593838545959851,0.012633779362031,0.0406958412534991,0.0351568399359115,0.0242773663036399,0.00203869111953398,0.0184489182658388,0.0284038826360356,0.0430232698070015,0.0343717512616304,0.0397757184252634,0.0877942563640055
"13","MRC-18A-3844",0.0641292962124028,0.0404437634362901,0.0673337001999225,-0.0745811896675617,0.0258190223832905,0.0324566873007793,0.0395207616983326,0.0673472178240795,0.0148819949171994,0.0476379978821855,0.0709464463943026,0.0256159984537871,0.00910646284439155,0.0161641912715751,0.0325060152910051,0.0387126527541257,0.0324181218582916,0.04631217342539,0.0726781121763511
"14","MRC-18A-2531",0.0353708467504637,0.0479733690376716,0.00020578431799525,0.0129125616710257,0.0269618195277751,0.0299643252569276,0.0369078770223839,0.136402694402715,0.00669658225845693,0.0423693318415579,0.043371933318814,0.0351098035123369,0.00386648230394249,0.0190567078469487,0.0303929939706619,0.0359924637410808,0.0359009935889643,0.0505941061679291,0.0275806379881743
"15","MRC-18A-2884",0.0440437936742211,0.0304670686462118,0.0580367293286985,0.0111080681891935,0.0349193687385506,0.0295748523880823,0.0383929164703527,0.0928000245253031,0.0125268158915898,0.0460788217447413,0.0439354676126715,0.0209996580817277,0.00612607390885907,0.0241107302408434,0.0280534605452698,0.0387881493063864,0.0310829764095006,0.0274615180628309,0.0286228902859132
"16","MRC-18A-3241",0.0775370986885386,0.0423993203536802,0.00650872329556888,0.0198219510105403,0.0282655103940694,0.0278562738771019,0.0548096356821894,0.0471946186343002,0.00481754827182856,0.0477948538789916,0.0511586129936245,0.0165143590193307,0.00653043271045945,0.0153666989815025,0.0339258109569443,0.0504410370361725,0.0378009739878995,0.0396999827857344,0.0335341515244877
