"","Name1","score","score.1","score.2","score.3","score.4","score.5","score.6","score.7","score.8","score.9","score.10","score.11","score.12","score.13","score.14","score.15","score.16","score.17","score.18","score.19"
"1","MRC-18A-2045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","MRC-18A-2372",0.0121424822726527,0.0322434821283967,0.0161564463301001,0.0281115332452043,0.0256813698011582,0.0434287315473041,0.0238981817310795,0.0195252877807125,0.0122135793721085,0.0137218449912361,0.012660863156342,0.0253952238484997,0.0256902232383418,0.0227550338034914,0.0210219228362763,0.0218978397172692,0.0160946388642894,0.0390336701420181,0.0124587939558525,0.018590013676895
"3","MRC-18A-2376",0.0505579966583999,0.0188147278147042,0.0102602801946973,0.0342908514603497,0.0188972059580512,0.0264142105343205,0.0246223046535957,0.00648231196481762,0.000575623783038424,0.0162622985224904,0.0220068137638414,0.0185722851175952,0.0254547939579463,0.0181824473177414,0.0129497801321508,0.0187030900379783,0.0165829058959661,0.0136696052127649,0.0094240264520299,0.0279187301586416
"4","MRC-17A-1027",0.00795227811613677,0.0340873292897322,0.0172674430399071,-0.00355285921411626,0.0158480297523,0.0215917542881365,0.0381657159911191,0.014277003693764,-0.00323653662478112,0.0189637560898923,0.0137248381126038,0.0224305519232133,0.0231780340207775,0.019801239605551,-0.0733428620872725,0.0204728527396356,0.0217350525018605,0.0288370082794866,0.0111884475192115,-0.0159504213077542
"5","MRC-17A-1045",0.0503362272410247,0.0250815437375974,0.0182824713360448,0.0333919308245743,0.0182130441075757,0.0218095923359669,0.030672320864085,0.0106407328745332,-0.00475350701266807,0.0195289781513501,0.0229712794155971,0.0342676991921055,0.0267241364508783,0.017497757592844,0.00893860171767812,0.0188428565743126,0.0197206852813981,0.0404951680898873,0.0114499526637526,0.0341117762778591
"6","MRC-18A-1356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","MRC-18A-1813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","MRC-18A-1819",0.00264578477239343,0.0301334788212249,0.0154502172574218,0.0190998872331641,0.0203253596920565,0.0207083096154719,0.0282077363904884,0.0118467387004899,-0.00750917437872251,0.0213498605218656,0.0205705506516645,0.0228619315288648,0.0246493956728774,0.0171465756137143,0.0176724194896985,0.0218517648890566,0.0229650051980143,0.0285952101317311,0.011504020362901,0.0313648645544416
"9","MRC-18A-1821",0.253514930415684,0.310472113104639,0.141431588431431,0.0328621403709471,0.437820444869177,0.676146772122578,0.505762138335475,0.409213525448608,0.454470114655642,0.252581323811912,0.166952272712855,0.553949017579413,0.190320987772952,0.547496770663325,0.0423594773023839,0.171321129567004,0.305446270151999,0.347730943056296,0.470844739923264,0.189840580825133
"10","MRC-18A-2043",0.00548568911213935,0.0337923198285999,0.0130827083517709,0.00814001850839458,0.0223159278520618,0.0293156318842946,0.026441487639693,0.00943064961683468,-0.00782637703797994,0.0208796632014107,0.018542424110235,0.0276811815347083,0.0201145501423653,0.0221235403039049,0.0168099793168465,0.0160018807216884,0.0222657520501986,0.0414319937220613,0.0160375916506558,0.0242528978276273
"11","MRC-18A-3529",0.0053332129522399,0.0351549459845209,0.0201419047214746,0.0218354851353107,0.0140017514104107,0.0236862409291727,0.0393454399856327,0.016377723691335,-0.00400668309707837,0.0231449610968362,0.0140067248030839,0.0643618062788233,0.0296210316424257,0.0355046643038274,-0.0726442172442141,0.0209304455045569,0.0145525250505166,0.0279985044046143,0.0170601255528495,0.0219749364111121
"12","MRC-18A-3811",0.0561292903379515,0.0274141976231279,0.0172484132132177,0.0124774356416785,0.0188312564037024,0.0198972521813223,0.0303540492762955,0.0145371892568321,-0.00193333817743423,0.0211295818068012,0.0264709568844856,0.0553426347334616,0.0209204675808346,0.0227038620633145,0.00774818870753155,0.0182066282731679,0.0125664770676752,0.0127019499652258,0.00712951345253897,0.0277396942551669
"13","MRC-18A-3844",0.0518910244606704,0.0283744180880962,0.0192313574393497,0.0222397838853412,0.0157727946543483,0.00900590013446094,0.027005808678428,0.0213037019440842,0.186497350277704,0.0177286691349004,0.0210338469923317,0.0343844475656578,0.0261513016176706,0.0251445569928405,0.013282938811766,0.0194261429557756,0.0155590456967083,0.0351529292318693,0.014204722260413,0.0202129348598992
"14","MRC-18A-2531",0.00760689216193723,0.036059276824909,0.0160003882671645,0.0427878402842227,0.0184707238046118,0.0220174557180583,0.0312890143895732,0.0103856319937094,-0.00734493104435375,0.0189391361429952,0.015374780827202,0.205916721895934,0.0239152378444224,0.0273485800618837,0.00720584825491184,0.0271123131975052,0.0172335267642299,0.0298723513364444,0.0101013151131611,0.0361108468398981
"15","MRC-18A-2884",0.00292359320363285,0.0297455074885896,0.0160261796244125,0.0299407272623762,0.0180966605566928,0.0389126905514629,0.0359979149471825,0.00576146658769984,0.0226454150628846,0.0194292489869565,0.0172752773588902,0.0269845430330886,0.0281628968496578,0.0235336874666527,0.00778444150931858,0.0189753950121762,0.0131811156475552,0.0233120303438403,0.0112282455001453,0.022015690037639
"16","MRC-18A-3241",0.0493062099429614,0.0262590035766221,0.0174637664728606,0.022775354464466,0.0209942585327959,0.0329428038787699,0.0545174467872094,0.0227218682342963,0.00120054091912711,0.0218375789995337,-0.0349897834091287,0.031054352817981,0.0276793995017202,0.0192492182101624,0.0100903643424253,0.0180153849819492,0.0129960244406166,0.025678811382525,0.0155464042858261,0.0374304417864886
"17","MRC-18A-3253",0.051308827115077,0.0321396318868792,0.0182521145459121,0.0179102283578003,0.0205921809160201,0.0255774565964058,0.0426444934287517,0.0188607411670929,0.00505663368220033,0.0172075484977375,0.0218746274379749,0.0262777961431624,0.0252751974470439,0.0179035460019691,0.0103607047841604,0.0153492128890147,0.0155661618648673,0.0180716364849962,0.0101504742462198,0.0256215619974072
"18","MRC-18A-3481",0.0103488360581,0.0316652606566758,0.0195516319269514,0.00665916815021748,0.022707539329108,0.0216476105626029,0.0303214753030727,0.0106049553948495,-0.00420558298796417,0.0197519943228196,-0.0331333033323144,0.0280958776457703,0.0245855888924861,0.0257047969325342,-0.0668404208314074,0.0234817153750589,0.0233618464655522,0.0184046027082191,0.0152593181446046,0.0334074933152655
"19","MRC-18A-3501",0.0502114420462731,0.0306670298102474,0.0175601603940605,0.0291163040002572,0.0251346032781278,0.0323808381266612,0.0447007191317364,0.0129858793606733,-0.00210734422170963,0.0217959524170616,0.0213512374734036,0.070678756736968,0.0249465307649908,0.0285221793319242,0.0217793128290379,0.0183602890062647,0.0177680586157107,0.0467636325350914,0.0177654299733852,0.0363813335979166
"20","MRC-18A-5755",0.00589110848329795,0.0313392825146709,0.0145430311159952,0.0120609369636644,0.0177060008757657,0.0243810150283661,0.0448435305284611,0.0235383097635888,0.0171638140431487,0.0209232010092331,0.0180922628784869,0.0258327966824308,0.0234716212033021,0.0220732064644638,0.0135437436227175,0.0200196777848452,0.0165629162686804,0.0326346383533257,0.0105517858038759,0.0222080385201866
"21","MRC-18A-6634",0.0186977655676831,0.00849070925089506,0.0164224220674418,0.0336939309159434,0.0267321475884582,0.0280146909426043,0.0429257887034809,0.0188029297940077,-0.000845264140338254,0.0257693223422488,0.0212385129014338,0.0330931786120127,0.0261829882954988,0.0294260616407872,-0.0651722069908826,0.0220087354914616,0.0163576889629314,0.0349331698661511,0.0227828663792046,0.0318278621032811
"22","MRC-18A-3567",0.0590193995135268,0.031494173569339,0.00969444719422863,-0.00996842705841756,0.0265515853501615,0.0387718260275298,0.0197309841237502,0.0831347201805151,-0.00277925319643115,0.0172912453453347,0.0252010058977928,0.0196774182555787,0.0252867436719062,0.0160810682070678,0.00433678320996555,0.0233335200801355,0.0203711434625782,0.0311054303556876,0.00613956900550648,0.0226207025296636
"23","MRC-18A-3578",0.00700728067396441,0.0277210159339423,0.0138411528771221,-0.012329046019104,0.0211778043706616,0.0211840505249768,0.0251258411963465,0.0192469884073097,0.00263931311494585,0.0134201932283325,0.0170083488356912,0.0168394086846804,0.0207068812377942,0.0165228336043207,0.0137510848816286,0.0101726303036176,0.0170481656628377,0.0115624055707973,0.015380928409579,0.0180217785193473
"24","MRC-19B-1939",0.0013503077455753,0.0385614526016878,0.00973841635103784,0.000472634758983683,0.0159930013362523,0.0219770239494816,0.0256957124714692,0.0157128729978794,0.00233239834515007,0.0139659907158372,-0.0314483856032471,0.0144558427732928,0.022541744563498,0.0182121076678056,0.00656576761847058,0.0118159166374225,0.017058862466154,0.023150952755668,0.0095047318152686,0.0169898974272525
"25","MRC-19B-1951",0.00239736071726169,0.0261144445667159,0.007598587885177,-0.00507982127618839,0.0136773387446936,0.0232069398060734,0.0279537224582489,0.00862144821840287,0.00110020025386084,0.0134210062549119,0.022474775153728,0.0132500900932991,0.0149170803679286,0.011361534237964,0.00562657447186387,0.0113899573274038,0.0109993944859825,0.0253692371869766,0.010746938602396,0.020690891160356
"26","MRC-19B-1989",0.270524283799281,0.0520304028797856,0.150579016370544,-0.0204260871891727,0.164903679275128,0.326071732586005,0.0114219460258664,0.192224228587436,0.141763324065943,0.239454301556519,-0.136670651055531,0.248809665563334,0.0166668475523547,0.174495858383562,-0.00288097848576112,0.0863032382114585,0.219818943697164,0.00982780974215859,0.345556489587936,-0.173698363359588
"27","MRC-19B-2229",0.0544851045979293,0.0287681848997909,0.00473211813499414,0.00401970399355777,0.0185020925096671,0.0286859032587564,0.0263344220242634,0.00810193058594105,-0.00348751256057165,0.0103174151845189,0.0221101505973564,0.023066167210012,0.0220541938680253,0.0114089331616386,-0.0551569179227239,0.0109835092841054,0.0138183663584024,0.0274649533088905,0.0120097548386576,0.0230853712798465
"28","MRC-19B-2036",0.00515585528381505,0.0247219436190235,0.00441874843988161,-0.00120862762651174,0.013467736296625,0.0302609387414434,0.0248193102093839,0.0129415356649761,0.00338595306038834,0.00657298448293184,0.0155391400588273,0.0108886846002139,0.0139350840984044,0.0108225871417476,0.00572240985945361,0.00792131867791734,0.017855576182273,0.0243427526012039,0.00790916109162125,0.0302803507329159
"29","MRC-18A-3883",0.0983482405863347,0.0155343122244909,0.0104871284154571,-0.00275595085044065,0.0227550273012908,0.0205179812358875,0.0210143546340839,0.0181448780410147,0.0340596069200671,0.015782701875455,0.0229081134226426,0.016019852846358,0.0221194455694985,0.0145494226659353,0.00211916949650498,0.0154120311306401,0.0109089290557083,0.00807052177087656,0.012062629901407,0.0143388340556667
"30","MRC-18A-7822",0.0125947644299984,0.0288643549662594,0.0159195083296684,0.00869184965063625,0.0199034224228963,0.0289661171756828,0.0369595172360322,0.0202384517517066,-0.00060161059966741,0.00526337885446843,0.0278561532595319,0.0171428257181855,0.0267980486458689,0.0167748646285453,-0.00673826119189404,0.0186559035491299,0.0117379055677594,0.0215202022827336,0.0117504504206125,0.0288645974815378
