"","Name1","score","score.1","score.2","score.3","score.4","score.5","score.6","score.7","score.8","score.9","score.10","score.11","score.12","score.13","score.14","score.15","score.16","score.17"
"1","MRC-18A-2045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","MRC-18A-2372",0.0623238330837982,0.00446817890487949,0.00379420448657836,0.00992950025263769,0.0273191112038777,0.0528469455193075,-0.0261296537273692,0.014374919908509,0.0464976555221456,0.0184935509739747,0.0208860631358401,0.00271978208558717,0.0323232788402735,0.0136941985100969,0.0528716685604052,0.0289499215029129,-0.000893001166337382,0.00776050969954256
"3","MRC-18A-2376",0.0552121117401338,-0.0054616000335796,0.00244962864003442,0.0116274701253509,0.0162754516300077,0.0419210917004695,-0.0125679661294772,0.0130941486625159,0.0456570353941516,0.00490979274244427,0.0178751917512697,0.00628189574488274,0.031773571868993,0.0130697058999502,0.060971761389614,0.0177955844508924,0.0115687687392117,0.00673982066085417
"4","MRC-17A-1027",0.0476074799265053,0.000986287528860073,0.00619896145679023,0.0097415253847671,0.0130332700412003,0.0366602698651047,-0.00577525406234172,0.0174607846261201,0.0442224659897411,0.0166925829441607,0.0542589778441183,0.00719950229628152,0.0427495744477674,0.00974827831466868,0.0425519144008146,0.0372695730356617,0.0132892566481155,0.0091801323576331
"5","MRC-17A-1045",0.0361077602708784,-0.0024166435829444,0.0154359238924012,0.0136791102761188,0.0192632873240887,0.0413706831217131,-0.00945414460075684,0.0130578294668346,0.0439239773878715,0.0140387181244003,0.0154978238369958,8.79021498663749e-05,0.0339424361634179,0.0100969184694814,0.0609012846122352,0.0277089856631,0.0180681800391636,0.00726030135740858
"6","MRC-18A-1356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","MRC-18A-1813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","MRC-18A-1819",0.0321972764385806,-5.69776382913617e-05,0.00875965268991148,0.0178497172809263,0.0185699127028829,0.0471429572876048,-0.0207812660077904,0.0050036264416977,0.0481438179878952,0.0166005125453674,0.0124893132291648,7.24304238408848e-05,0.0336614634459376,0.0119643965796761,0.06555469994022,0.0227002859494665,0.0110156992319765,0.0128368872487692
"9","MRC-18A-1821",0.122433697408506,0.466320046793368,0.154360781580443,0.40653892101632,0.499180676955865,0.441785491767755,0.0351480727341414,0.314190994596801,0.369555603282115,0.0459788342302634,0.347756140626372,0.693318952230169,0.671476711445634,0.482687530624255,0.332015859202259,0.0537137255688492,0.377858751444858,0.184031309076722
"10","MRC-18A-2043",0.0391708082204673,0.00253126248993721,0.0136874129308099,0.0138516975162967,0.017781825905541,0.0441346402396929,-0.0118070011100115,0.00740264544971908,0.0412874287088626,0.0126094114221609,0.00970916556531904,0.00428803346545266,0.0323138831098996,0.00901448145376763,0.059008455944301,0.0321813533715746,0.015860495246635,0.00830295905606022
"11","MRC-18A-3529",0.0395873864633539,-0.00321440155992041,0.021881536993943,0.0167020458426766,0.0249099569834339,0.261982453420185,-0.00359955984492867,0.0157711739139876,0.0431984105440646,0.024438117402708,0.0177233244229863,0.0121467862592741,0.033552725113873,0.0107481501734902,0.0554900878582506,0.0344869005409686,0.0203151274295837,0.00828842909841531
"12","MRC-18A-3811",0.0405304841538685,-0.00118844848461344,0.00481455981558543,0.022278371762882,0.012965589583219,0.0423057455021167,-0.0129348117670365,0.0176976930817795,0.0464379121455162,0.0356564120048384,0.0623818489025355,0.00208795662847048,0.0400785944828696,0.0154698373436158,0.0819703694413268,0.0210037988892688,0.0101908669667856,0.01143837731577
"13","MRC-18A-3844",0.0392476551493783,0.000944577882964662,0.0171282111935456,0.0189647170254895,0.0158171307008004,0.0557249079940887,-0.0180530499957857,0.0162932180025267,0.0399049077469804,0.0245256111915176,0.0125467661760059,0.00173508285533856,0.0310098901701776,0.00433150301084943,0.0585050325244595,0.0265386741431721,0.0202512317820738,0.00723230495841753
"14","MRC-18A-2531",0.0359231414672937,-0.0013534098128622,0.0167249236961369,0.0126953998782033,0.0190847394557059,0.0526097487044387,-0.0174436459674805,0.0128948603153428,0.0528076501484123,0.0207352914324517,-0.0363436970512478,0.00434868458850403,0.0305715281132564,0.00551776631564445,0.0651452602216446,0.0441382419439773,0.0233005213028385,0.0180190126750273
"15","MRC-18A-2884",0.0465111604849166,-0.00308083510530021,0.0147979533450547,0.00775573474000513,0.0244657394800695,0.0442031225093266,-0.0085068996924987,0.0162927611979413,0.0576543080021289,0.0173158892358267,0.0662116770166775,0.00771628903366994,0.0312688414257197,0.0129305946621501,0.0640990385631163,0.028092155171645,0.0100522046803693,0.012312729086256
"16","MRC-18A-3241",0.0369124201995018,-0.00201402170257358,0.00652056125469898,0.0201172243146216,0.0192747879653808,0.0535253825014238,-0.0157121968253944,0.0085118323874617,0.0481285100424362,0.0172863140785033,0.0585236639319362,0.00606476809234743,0.0335037449212131,0.00554810029417065,0.0653135468189402,0.0259296079553361,0.0160377660106841,0.0133233308710061
"17","MRC-18A-3253",0.0512207294562135,-0.000930925428449197,0.0120858746159988,0.0138560054464699,0.0200797422117674,0.0462504985544179,-0.0168091482390624,0.0214857043724215,0.0514465647682523,0.00135371713948409,0.00345175419152591,-0.00032255354968514,0.0301498100033446,0.00556144436132877,0.0877910230787008,0.0173196058759828,-0.0102355808347205,0.00759059068332965
