"","Name0","score","score.1","score.2","score.3","score.4","score.5","score.6","score.7","score.8","score.9","score.10","score.11","score.12","score.13","score.14","score.15","score.16","score.17","score.18"
"1","MRC-18A-2735",0.0829914169634633,0.0244155083340837,0.031314997782279,0.00610256617764586,0.012973010556388,0.0223917973665996,0.00177636409001891,0.0152754557397767,0.011646444465224,0.0253070869366277,0.0258141429118805,0.0176482665896336,0.0253873178845018,0.0130895981030178,0.0149652481998824,0.0174771926980458,0.0344956668795074,0.0534309880311409,0.016257980129126
"2","MRC-18A-4180",0.0452218821115497,0.0248853652964776,0.0499316148324547,0.000836920089753294,0.00895363614076984,0.0187320939401267,-0.000309059442587443,0.0109903530372933,0.00569902080265249,0.0235008586401085,0.0180930150835217,-0.117485461425639,0.0168535703568256,0.0101441350361204,0.0125810598228269,0.0118302627978694,0.0306626130547847,0.0352065411880829,0.0151655656491635
"3","MRC-18A-4498",0.033970916590927,0.020739948792164,0.0266914038523773,-0.0509846129363361,0.00902637605662618,0.0202230961915163,0.00366547041579164,0.00886706733132376,0.00858888021582758,0.0241579193643739,0.0207137633359735,0.0215934516322676,0.0168779199839318,0.0098992039391082,0.0115267410329476,0.0139740660194383,0.0357397515209486,0.0432860653435781,0.0139109122511141
"4","MRC-18A-5885",0.0851229679895529,0.0176129425961518,0.0222116930015454,0.00936100859251522,0.00709154726267738,0.0135783083155985,7.8563275362495e-05,0.0191935815235443,0.0148540229717878,0.0248194383399653,0.0224823176843466,0.012935520893738,0.015017200629052,0.00895192120696784,0.0144391065093891,0.0152507671440707,0.0308422198522359,0.0480112112775615,0.010544600949328
"5","MRC-18A-5893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","MRC-18A-4888",0.0396849176720578,0.0130766957730606,0.0442470673187423,0.00721534048786727,0.00872975456022426,0.0199457598519032,0.0027587364600751,0.0143178254882345,-0.00040244777321044,0.0230495103306188,0.0242159574928082,-0.104969325978863,0.0219046237234839,0.013481962134972,0.0185193847876768,0.0166238074573693,0.0370862167361496,0.0241072244622239,0.0159941922195794
"7","MRC-18A-5479",0.0802978734547265,0.0170161129528185,0.0169409463052802,-0.00478952270436199,0.00797943969003382,0.0188108183448216,-0.000771395986346116,0.0174899420765882,0.0130409381967758,0.0205414856464203,0.0199665653674464,-0.113792443897536,0.0216262182755761,0.00886186888811046,0.0106169143501422,0.0108126997404017,0.0389020730148861,0.0395337226746359,0.0125927914008834
"8","MRC-18A-5587",0.0801062146982241,0.0251932982631279,0.016705666289255,0.0100142262671551,0.0131232852251473,0.0194269576925547,-0.00458571553852132,0.0131078912680664,0.00972884555254019,0.0149800085298185,0.0186238087737373,0.0162499137936143,0.0198382213706888,0.00595877356093537,0.0219098717983987,0.0141859438203062,0.0471594771562751,0.0582754379633125,0.0188221614214293
"9","MRC-18A-3497",0.0872896522101336,0.0115991931995297,0.04197142084616,0.064550784875032,0.012956814683683,0.0281968967813549,0.000960078225730323,0.0156533157484801,0.00361521665598776,0.0261829361530805,0.0248033826237939,0.0174538041414359,0.0251113095144395,0.00775503528656698,-0.111578553305555,0.0123550657395941,0.0398627894159756,0.065881537860218,0.0165008583417892
"10","MRC-18A-3538",0.0856184301931677,0.0197963973127889,0.0321289545228474,0.00183646133717754,0.0155556407705605,0.0196776728483271,0.00709391962145071,0.0234467024748899,0.0168783615294825,0.0246269718515203,0.0249449717336134,0.0276220067454851,0.0224033960377653,0.0166230765810365,0.0258617418412467,0.0193231864697112,0.0516150809488633,0.0518874943537043,0.0188278666178623
"11","MRC-18A-3539",0.0966569985624305,0.0210574088652276,0.0356278783869702,0.0127156544716823,0.0142998756146783,0.0202218019156018,0.00208099018943011,0.00773416201396855,0.00701059447912266,0.0220789202175654,0.0164565736460728,0.02645935738712,0.0171139637390869,0.0109032869481665,0.018928833189095,0.0124243712117017,0.0378959416417055,0.0266646375479191,0.0139200720924806
"12","MRC-18A-3540",0.0485042197588502,0.0189842448037478,0.0302758381251686,-0.035371769503058,0.0157316254822192,0.0235817910400004,0.00377917020956868,0.0132480566725593,0.0109274469825835,0.0247932703682669,0.0204971809300746,0.0183409242856568,0.0215927645184301,0.00528174233928194,0.0194780004584824,0.0213254457724559,0.0428376450078608,0.0550340782664973,0.0174160708193248
"13","MRC-18A-3531",0.0942486483299448,0.0180803492778425,0.0543135008419379,-0.0377550076268021,0.00956981717977629,0.022872584553209,0.0131905055935297,0.0147823699698393,0.0161510729102394,0.0258884573570985,0.0202262070495524,0.0224932405736149,0.0238454625888625,0.0144819640979006,0.021770079460679,0.0197385709669414,0.0359357300845549,0.0343931677124968,0.0177731545589745
"14","MRC-18A-3532",0.100559274544155,0.0235569074443774,0.0285367923656102,0.400464608107211,0.0121000053229162,0.0181919747665498,0.00883011854047747,0.0180847339582982,0.00638894325942119,0.0259360139369112,0.0259973212071037,-0.105796755043789,0.0233836452144407,0.00794649659316782,0.0209538215620036,0.0206831330271875,0.0359797958600706,0.0180431093215518,0.0127630878097284
"15","MRC-18A-3533",0.0602212575376403,0.0193220677804504,0.0285575984889413,0.00586060394115482,0.0157784659658722,0.0242074869350755,0.00576234646518401,0.0245480303556069,0.01191551129735,0.026651989806144,0.0237095217986082,0.0220340176160172,0.0214875322306079,0.0186175002090451,0.0152303611360044,0.0154787239553071,0.0361808906323632,0.0441687754658926,0.0185238041871998
