"","Name0","score","score.1","score.2","score.3","score.4","score.5","score.6","score.7","score.8","score.9","score.10","score.11","score.12","score.13","score.14","score.15","score.16","score.17"
"1","MRC-18A-2735",0.00554198471890763,0.0430495939362281,1.01525638840663,0.0240611029105495,0.0233117620573762,0.0404439268365616,-0.00738233246486666,0.00165011903817123,0.0845714936012061,0.0503622465913635,0.0161333155186669,0.00155514475957698,-0.0434173123868436,0.0204352763599362,0.00867286498003778,0.0462915975902227,0.00927422456506228,0.128164980748165
"2","MRC-18A-4180",-0.00863701248548438,0.106801063819943,0.0497395652349098,0.0235821994759877,0.0123886739012237,0.0452694696451897,-0.0117029611707912,-0.0050760414468352,0.0859168152823058,0.0450673884348077,1.95461874584056e-05,-0.00490184817191122,-0.0309383948991894,0.0204460566303188,0.0122120334534351,0.0374570777691565,0.0222458562916407,0.0797958995832867
"3","MRC-18A-4498",-0.00792131557762968,0.0310668463190202,0.0492534859486397,0.0215545169972616,0.0321080077095307,0.038887115130702,0.00189633453647783,-0.00492162367222436,0.105841711960138,0.0353474821974262,0.00900256773810994,-0.00487810804485387,-0.0525787606996002,0.0175416954966362,0.0217980799073263,0.0385182291096384,0.0161353787617442,0.112292083551722
"4","MRC-18A-5885",0.00958242719385994,0.0380174807986035,0.0545922582281918,0.0248843762514558,0.0160150351068184,0.0329692684337217,0.00391782416090265,-0.021822132230507,0.0241552750735586,0.0223806332974331,0.0132359728863238,-0.00659443359797764,-0.0589548887362757,0.0191085509394533,0.00805110395807705,0.0335457930230879,0.0225373369579584,0.0609725818501849
"5","MRC-18A-5893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","MRC-18A-4888",0.00364408030273746,0.029263697260222,0.013870759674133,0.0171502285477843,0.00702792916133668,0.0548234613762721,-0.0131761426996715,-0.00410608763534333,0.0496376592499838,0.0417581390498028,0.00596389050614622,0.0137397081894669,-0.0391552285969146,0.0189969245094956,0.0149635336090931,0.0336049632473104,0.0300102643660717,0.157309935858759
"7","MRC-18A-5479",-0.0139554663148658,0.0364562067204613,1.00851116149222,0.0103912755565302,0.0164643682080672,0.0392190161109391,-0.0169047113897564,-0.00208519126108713,0.0999240653156904,0.0408537166644636,0.0144579999837532,-0.0102445064571521,-0.0270018875292921,0.0132517126175888,-0.00362470304503027,0.0368633783015526,0.00718623412408895,0.107899231631274
"8","MRC-18A-5587",-0.00595728666367649,0.0299878769209539,0.0373906800696518,0.0249460043116426,0.0221942827841759,0.0401863408057526,0.00387647667485569,-0.00961862541272602,0.0490558582239095,0.0486876129365739,0.216717176411545,0.000181303151263752,-0.0524941432775994,0.0142513084347163,0.0150093217503378,0.0468226986528237,0.00671731958635135,0.110759102835512
"9","MRC-18A-3497",-0.001382458665012,0.111911986468659,0.0748416415686644,0.0218791259198285,0.0120152606735414,0.0376075278350611,-0.130733004537226,0.0137695760273358,0.0334328170881709,0.0454982048214096,0.221991999232646,0.0198359251066238,-0.0536721941650984,0.0171598722975508,0.0293130469830483,0.0532702202508994,0.0253149560891675,0.09410088285786
"10","MRC-18A-3538",-0.00114655658037218,0.0450374201432639,1.01922609080374,0.0196042346218858,0.0195676734564064,0.0526463574536334,-0.00251529008347209,-0.00368452216586878,0.0296686391862783,0.033991855418245,0.00392312125398859,0.00902009660921992,-0.0381831797985796,0.0246104939490185,0.0124747290643738,0.0430732324573459,0.025184153414955,0.148088040777072
"11","MRC-18A-3539",0.000803780801938233,0.0302519728065426,0.0557819235571848,0.0145626057993469,0.0173834788474594,0.0365544564827374,-0.000877698721541911,-0.00709139726305442,0.0414607759083693,0.0356191189510881,0.00825756048702061,0.00721703273731429,-0.0281386320885165,0.0164805811337317,0.00461390776820855,0.0430562629137399,-0.00634736059260396,0.0788733993697916
"12","MRC-18A-3540",-0.000128981270088025,0.0320692242846158,0.0432140692503548,0.0286325259082869,0.0206720555636681,0.0514622014046795,-0.00490547986071464,0.00323271112757852,0.0469204604141466,0.0350592312613385,0.0128622407913112,-0.00644404035668646,-0.0426347146987873,0.0266723853891577,0.0144457483802119,0.0487468469920028,0.0113876517687832,0.171807267905055
"13","MRC-18A-3531",0.002109462852912,0.0348409079233422,1.02864699760468,0.0273333516323511,0.0326679839408189,0.0366545334414973,-0.00636796969530532,-0.00941893427443095,0.0525849725649031,0.0275035753339511,0.0170789540004789,0.0142987494247061,-0.0303071888331792,0.0186742043235228,0.00670875996342615,0.0404078005771316,-0.00334207269855314,0.114844262391158
"14","MRC-18A-3532",0.00077543961948371,0.0264054987526096,1.0246038436116,0.0185932679286997,0.0226455835278479,0.0426706485876684,-0.00554132716961027,-0.00921777329342563,0.0426210081423188,0.0277520127920593,0.0141941703108454,0.00708435523603639,-0.0388217078779994,0.0185186888158682,0.0307239461779373,0.0427771524246172,0.00733857795097503,0.095208359179522
"15","MRC-18A-3533",-0.00505501733322845,0.0881976016485031,1.01767719811016,0.0223873957521949,0.145313608742554,0.0391414088675138,-0.00782120721185256,-0.00573759981835209,0.0906918839367608,0.041113512179874,0.0275835493380104,0.0137424726934031,-0.036932133370791,0.0206327803615969,0.0156886424032956,0.0396245307217703,0.0279248987852673,0.114926357771741
"16","MRC-18A-3536",-0.00100250095140709,0.550609588726135,1.00881940790379,0.012504890570227,0.0273005638989918,0.0489801775090123,0.003791651139144,-0.00736596326249392,0.0538005233684544,0.0386771818715437,0.0211019412361776,-0.0034875872638602,-0.0451018934837653,0.0208490058464995,0.01562806904111,0.0353152664051747,0.00455262503446133,0.145104859293387
