"","Name0","score","score.1","score.2","score.3","score.4","score.5","score.6","score.7","score.8","score.9","score.10","score.11","score.12","score.13","score.14","score.15","score.16","score.17","score.18","score.19"
"1","MRC-18A-2735",0.00880696466718378,0.0729952304662627,0.0570821758155369,0.0111157070438528,0.00198411280540419,0.0153162017725174,0.107562399999854,0.0277781716843515,0.0409175709794425,0.014532922564078,0.0194743702650049,0.023080369952031,0.0429487435840758,-0.00868464428804722,0.00677944156011887,0.0469428885257999,-0.0021159194492007,0.31373566538577,0.0147492854880802,0.103452927392804
"2","MRC-18A-4180",-1.98316571599641e-06,0.0554931020248985,0.055068412019724,0.0132389884479966,0.0606306515737485,0.00917181754774123,0.0888364241489423,0.0208919188288914,0.0217391047778189,0.0142555747715738,0.0195693068359561,0.0212989581271012,0.0286678575809119,-0.0175182522900455,0.00834634610423376,0.0466428491730006,-0.0130798735749359,0.319594197293722,0.015827350959734,0.0984064001951145
"3","MRC-18A-4498",0.0129449749174494,0.064501399874146,0.0100640607338506,0.00351430431655189,0.0113922170944771,0.0103874014527696,0.0940273719666798,0.0272368041298009,0.0292177237632593,0.0130600237009994,-0.00471094486030341,0.0221849231916884,0.0291981946523771,-0.00698189921837178,0.0105911905008854,0.19097025873654,-0.0110860036411691,0.0451113346150041,0.0175722651574028,0.0903655789266974
"4","MRC-18A-5885",0.0277409476146657,0.0765411944475393,0.00239189842977216,0.0171822098959933,-0.0153588927696713,0.0178776664285471,0.0777488425328393,0.0187825715141693,0.0380701204828054,0.0142112526771414,-0.0137196682739781,0.0257241956080858,0.0280611775973596,0.00999359771401835,0.00158101109459279,0.0461267619017338,-0.0308220886529292,0.0424470329555846,0.00940852507046997,0.0895446736337074
"5","MRC-18A-5893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","MRC-18A-4888",-0.00232631386883576,0.0491059284740018,0.00194696200873968,0.028171518923521,0.0655855414556339,0.0120786851939811,0.0739963186989873,0.166751592616521,0.0246976522251869,0.0252088087755764,-0.00999181141535702,0.0207276126180397,0.0390716460792415,0.0128852521598213,0.00878345474396796,0.0479632601652598,-0.00276099385417216,0.0410754315114786,0.025344217153676,0.113219140881863
"7","MRC-18A-5479",-0.000249484709951505,0.0680064855549481,0.01050027375245,0.00383881151508359,-0.00854216142828637,0.0127416732623244,0.0977290273190374,0.0222042570928622,0.0175533895378872,0.0110616156300646,0.000520787855392229,0.0242730064988719,0.0382410482409319,-0.012637028132729,0.00545482134990082,0.0438175159040393,-0.00549763022668163,0.0483375318848618,0.0161204441288511,0.100032143155575
"8","MRC-18A-5587",0.0205723468488416,0.105252547354221,0.0557110106939451,0.0253442368063275,0.000345933097247934,0.0233426584469417,0.104408449897461,0.0226244720272393,0.0213652833044702,0.0197742987400898,-0.00810784850891029,0.0170108267425037,0.0249318806161681,-0.00232530848735214,0.00596312783489136,0.0415675386668881,-0.00597282510098962,0.0159287064163183,0.0120752421688003,0.130717725958257
"9","MRC-18A-3497",-0.00387358465606053,0.0591363562452016,0.00530813937286135,0.00290009569137729,0.0747861483552062,-0.0849092678048799,0.118086878908652,0.152578767947529,0.0275771693436218,0.00884114445743212,0.00832132007443302,0.0304419033703536,0.047848587053659,0.00782705461759219,0.00453634522703998,0.201878415331873,-0.00304894057145151,0.025635440179019,0.0243787787352064,0.143214434810485
"10","MRC-18A-3538",0.0158067113111786,0.0676801400504826,0.00708500425410872,0.0163938779772273,0.000527756248536786,0.0211315181445107,0.10437474252651,0.0328982184745349,0.0337065152241041,0.0235328098555527,-0.00383332742929765,0.0273943284948192,0.0457539690899938,0.0116022381201721,0.00897744248445027,0.0455977322115365,0.00352672732843491,0.0443872603927152,0.0232887444155839,0.0943872165369394
"11","MRC-18A-3539",-0.0121828666867168,0.0630896095541863,0.0570896829736185,0.0236344658457491,-0.00396329677665707,0.0138308749070682,0.0874448007587732,0.0311178745153534,0.0231695161801028,0.0197829771125038,-0.0213202343655031,0.0261371087679948,0.038330353582685,-0.00326616776423113,0.00810669791676563,0.187503684075593,-0.00495819967828429,0.0454998094734059,0.0164444396469749,0.0892743310733778
"12","MRC-18A-3540",0.0140783878928492,0.0697189070776754,0.0037632417933512,0.0156195068150387,0.0646119993138252,0.0288181802748856,0.0972618585483547,0.0368678251011415,0.0286391957371784,0.0174538955540802,0.00992378658395307,0.0264680998432583,0.0384888214535535,0.00928672839545431,0.00796548210585135,0.0489226216967233,-0.00972040170663924,0.0347848265742724,0.024311958969551,0.0889035349483731
"13","MRC-18A-3531",0.00139891960971053,0.0707064587048379,0.0096041330198903,0.00565430317981491,0.076955948229295,0.0284963466725484,0.0981362576636765,0.0339060029870943,0.0267291200452582,0.0172684240682123,0.0245626550487132,0.0304318558959824,0.0436561776373038,0.00547165287410301,0.0087410741108294,0.0537243672353914,0.00632112157942345,0.0502576096688232,0.0130284561490337,0.0956656416948597
"14","MRC-18A-3532",0.011969068470493,0.0821321309632963,0.0119180119743004,-0.000454853867937051,0.0644509493788616,-0.0802446732707638,0.10814914714095,0.0423167974559773,0.0273829682263102,0.0204173629627371,0.0147116589119719,0.0281605086371447,0.0455978666551465,0.00287470633065676,0.0099668482038993,0.186904770796991,-0.00526717130844717,0.0294063166990985,0.0138943125030581,0.0972938566987629
