"","Name1","score","score.1","score.2","score.3","score.4","score.5","score.6","score.7","score.8","score.9","score.10","score.11","score.12","score.13","score.14","score.15","score.16","score.17","score.18","score.19"
"1","MRC-18A-2045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","MRC-18A-2372",-0.0418088170855082,0.279079120346684,0.037324328736188,0.018148508585638,0.00684011359889403,0.17516709046914,0.0834840567112261,-0.0164378116748871,0.015050669279301,0.0369024099335249,0.0144158355450521,0.0301861774223346,0.0398756653077676,0.0198712995232124,0.0435830401613008,0.0236460378971642,0.0289012579262533,0.022824651222923,0.0560540373807169,-0.000756350954859522
"3","MRC-18A-2376",-0.0356547116095817,0.0383141778171329,0.0382604175986764,0.0113799471576677,0.0132603087212459,0.184845762067529,0.0693033754797121,-0.0122592748960559,0.0131821588690431,0.0329324918552588,0.00847769242871237,0.0297134346568067,0.033149507140045,0.0262583703897139,0.0602287371142106,0.0218156109701468,0.0219633929010259,0.018227281934856,0.0587335400740489,-0.000420701229415506
"4","MRC-17A-1027",-0.0274926899923842,0.0361872732105843,0.0407533061430973,0.0130375831899608,0.0124743550005423,0.173588742564279,0.0864573686013558,-0.00717574752808779,0.01263065195912,0.0348899328225586,0.0144193523117671,0.030698943589276,0.0359328224255293,0.0178265585028548,0.0509203637083741,0.110036430098053,0.0279349545155753,0.0155490272171192,0.0723556887048713,-0.00179643564037555
"5","MRC-17A-1045",-0.0245538899375512,0.0554301813771954,0.0365703175254533,0.0138642542049235,0.0115699271006465,0.0699336630484429,0.0174169579351477,-0.00942569479154477,0.0131636171651049,0.0401896759091592,0.0159262875767726,0.0295329511147153,0.0309776549495776,0.0227732055079326,0.0507020101732543,0.0205180978597372,0.0293373213408326,0.0150516974618076,0.0659625809444148,-0.00717746478197098
"6","MRC-18A-1356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","MRC-18A-1813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","MRC-18A-1819",-0.01983258806326,0.036169228043275,0.0401212851066415,0.0759327282799378,0.0118427657779384,0.0553537453989303,0.0678517007699597,-0.00634110554277688,0.0144715612403092,0.0363217434411936,0.0136212127870342,0.03076752707583,0.029307720202489,0.0178598949482197,0.0438547480138784,0.11095836774211,0.0284789725891677,0.0131151965991079,0.0733280050633383,-0.00316764211324789
"9","MRC-18A-1821",NA,0.0675535603999945,0.505394031999616,0.298485273324161,0.0464721131733272,0.570317491122121,0.981109739941399,0.207000699724431,0.24375796885226,0.396647695558402,0.164882474645054,0.257078159802138,0.438796723275015,0.275670902775313,0.435467583906642,NA,0.282293798905443,0.319674523443358,0.785594016620162,0.12111915494257
"10","MRC-18A-2043",-0.025634544348613,-0.0360166571960375,0.0393554897096385,0.0160035323940899,0.00843709114500127,0.292878411170629,0.0617179731308036,-0.00716759170514161,0.0111500558332556,0.0378142520374,0.0137500031980916,0.0342148250130931,0.0285048620999749,0.0193723526102175,0.0476206781924054,0.108714802237746,0.0274547714403354,0.0160916117582619,0.0557419289774402,0.00358870531623028
"11","MRC-18A-3529",-0.0337990410233083,0.283013229595433,0.0917628635331033,0.00942728127369826,0.00752601673527828,0.176336030405982,0.0786391637877633,0.000301528107015036,0.0137851818941308,0.0390060310462585,0.00617087422083002,0.029895485804031,0.0394704706772034,0.022059614247902,0.277827326032968,0.104682418073482,0.0312959216272178,0.0265144023632178,0.0716209890521134,0.00204825345131604
"12","MRC-18A-3811",-0.0125513363103048,0.037351361740284,0.0476296567700481,0.0190711836923062,0.0116770546810994,0.294284693771373,0.0595620663900417,-0.00332211167810249,0.0113697294614077,0.0356396763404145,0.0138629442274491,0.0300299675624126,0.0238625439454841,0.0175941238784459,0.0436884239244033,0.0295960040998811,0.0242497433743264,0.02203326284015,0.0702127559666477,0.00601712186369146
"13","MRC-18A-3844",-0.0184183372539658,-0.0344248131595788,0.0448764707204993,0.0900245776890774,0.0123222627803109,0.298645291741927,0.0655587929620375,-0.00408505906477242,0.0132021940648418,0.034863169995276,0.0164355611352741,0.0273608107597393,0.0440654948041781,0.0217053240035805,0.0455470204368719,0.0315623233566574,0.0287239846665334,0.0189219841497542,0.0653953231991658,0.00108979117282073
