"","Name1","score","score.1","score.2","score.3","score.4","score.5","score.6","score.7","score.8","score.9","score.10","score.11","score.12","score.13","score.14","score.15","score.16","score.17"
"1","MRC-18A-2045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","MRC-18A-2372",0.00837173418107951,0.0690153769734239,1.02136627868826,0.0309335552405317,0.0280438328768661,0.0539073847800003,-0.0064229079873944,-0.00735081138801702,0.0400810448475592,0.0309006259528127,0.0143021870922645,0.017012653694777,-0.0410801539250203,0.0225378745174905,0.0221346109445542,0.0507306397716231,0.00548200600894749,0.120602405696635
"3","MRC-18A-2376",-0.00476439768152642,0.0514988763839351,1.01779031432034,0.0183449331145114,0.00903723195792155,0.034943814336851,-0.0079601223367965,-0.00321389785581855,0.0501156386890902,0.0310607583166359,0.0211661463080946,-0.00199530652149488,-0.0500961016042011,0.0196534571319396,0.039315210687496,0.0447208418576219,0.00132433319445154,0.104643486325899
"4","MRC-17A-1027",0.00140996973913833,0.0484415509317486,1.01639998865896,0.0265840632444254,0.0195234166520906,0.0431007376731171,-0.13703388103693,0.00753425866622148,0.055349305473008,0.0370080772375988,0.0114413975985043,0.00394033574459505,-0.0321988927738421,0.0180416939853571,0.0358447145635454,0.0478614618613497,0.0207368299994972,0.180746860437736
"5","MRC-17A-1045",0.00384535291748394,0.135124051665637,1.02117447449423,0.019112277590046,0.0400709930999663,0.043275364637295,0.00288237158243604,-0.00177797101444452,0.0482337283213941,0.029909253935652,0.063638691030313,0.00147601969383772,-0.0460595402698965,0.0201296559610975,0.0282579824821839,0.0474839461083347,0.0108175454988592,0.149766804856472
"6","MRC-18A-1356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","MRC-18A-1813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","MRC-18A-1819",-0.00134049617903786,0.0524934158082627,1.01278203848075,0.0229737027127274,0.0368641313826153,0.0362862138361776,-0.0100644555549639,-0.00618302990585027,0.0975877736276507,0.242030640009491,0.00628187883029964,0.00797256100940716,-0.0462279398844398,0.01526733251512,0.0198807245754847,0.0470855016191959,0.0276381739168818,0.135369046653819
"9","MRC-18A-1821",0.0569714890441024,0.692301105442347,NA,0.380836646027472,0.145256768257583,0.36977079397925,0.325234714734037,0.360850148404866,0.00502989909903192,0.512405256741242,NA,0.524158365633486,0.626469191718334,0.280755592920742,0.543556085535988,0.332866505423182,0.249070274565858,1.27868324274643
"10","MRC-18A-2043",0.00243400998513365,0.115458395272807,1.01798288333827,0.0234793993045636,0.0153725220811206,0.059561878519315,-0.00589094791439916,0.0150919168372514,0.0396196443109319,0.0385207757165634,0.00896410748022308,0.00983241725837532,-0.0485627599853746,0.0150593094896049,0.0280507511025057,0.0481788285111723,0.00464113792712565,0.134471834541559
"11","MRC-18A-3529",-0.00702057554499442,0.0527462549197626,1.02114285122075,0.0234229055973404,0.0179914844013407,0.0432110381628642,0.00178797912943064,0.00805041834320305,0.0949816447263507,0.0352313374883659,0.0407661208480331,0.00171226299393243,-0.0424119371677406,0.0170188553358165,0.0325376727768725,0.0393267356593268,0.0105093692494115,1.29738769448298
"12","MRC-18A-3811",0.00280973031052204,0.138010991392245,1.02769860804075,0.0157326366723872,0.00974625956507574,0.0338750410389143,-0.00535524582139052,0.00966669216232339,0.0896468928814805,0.0267140273435928,0.00674504497031945,0.00417796968482461,-0.0434537448649559,0.0188061862194155,0.0318186041384936,0.0488623828655488,0.0118031321727954,0.0882060122749938
"13","MRC-18A-3844",0.0029169695959847,0.0565813518350142,1.01869506185227,0.0119852843076986,0.0123975386421639,0.0479672084398116,0.00239043364904116,0.00895852826717926,0.0582106048128443,0.0208862088376549,0.022468766976456,-0.00461577282485119,-0.0503242457385396,0.0144556085001347,0.0341412393794019,0.0416713740608842,0.0140424238036157,0.14221843559283
"14","MRC-18A-2531",-0.00795712346612763,0.0562717648760162,1.01838894284516,0.0246746989865416,0.138032773896939,0.0330957325194864,-0.00750287764766715,0.0177487801747867,0.122686401986822,0.0280640561384989,0.0161907489311918,0.0164910995552154,-0.0522544182282718,0.018012413063549,0.025351528747628,0.0474200974654773,0.0175346323957109,0.162240249198677
"15","MRC-18A-2884",0.00981591458235642,0.548472079002844,0.0749272065017152,0.0310994649391269,0.021997019200903,0.0332704412169488,-0.0120043369744699,0.0121286290359442,0.0996512071759553,0.0336421152882488,0.0229025881978594,0.0179899614533003,-0.0509367731384639,0.0160592038919658,0.0241554620644172,0.0525259120019835,0.0271555235695194,0.189442110357806
"16","MRC-18A-3241",0.00974518773420419,0.0386403116729554,0.047322388926142,0.0202416584029372,0.020740149141878,0.0435084681077034,-0.00169084433374335,0.014221064110054,0.034535989031499,0.0461980622274269,0.0265527011740118,0.0111531617989482,-0.0453190589268063,0.0191032193470723,0.0343656500449249,0.0542489147902743,0.0193156948748819,0.150315409677808
"17","MRC-18A-3253",-0.00131294551485574,0.132484048103876,0.0642179049700059,0.0301689367180829,0.0127701315420766,0.0342626743239789,-0.0109295897428522,-0.00173338200452021,0.0857579702680334,0.0380362621153126,0.0210795055849265,0.0087898209876617,-0.0511918363589224,0.0139017520644649,0.0210589665294369,0.0438533254543578,0.00776348388537515,0.157747264005156
