"","Name1","score","score.1","score.2","score.3","score.4","score.5","score.6","score.7","score.8","score.9","score.10","score.11","score.12","score.13","score.14","score.15","score.16","score.17","score.18"
"1","MRC-18A-2045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","MRC-18A-2372",0.111581683202661,-0.0811689585076402,0.0218834216200285,-0.0163353188891765,0.0560543081883517,-0.00193877142366343,-0.00473250408141069,0.00567694450448617,0.00442781674291095,-0.0462603865673846,0.0342965310249296,0.0457870380367183,0.0400267701560734,0.00152502653972052,0.012736008280143,0.015769337786784,0.119639039414976,0.0860438631944208,0.0199383189697259
"3","MRC-18A-2376",0.0145544321325563,0.0072050915187864,0.023762656895211,0.0045668806796898,0.0332535025344462,0.0339075180981257,0.00165768862267258,0.00757798348684097,-0.00511801964751997,7.23920694219916e-05,0.0247890307927774,0.0315447298488972,0.0342420893531489,0.00968147088058087,0.00768689297851647,0.0057790845552585,0.128506121816191,0.0778841152066512,0.0187765795765561
"4","MRC-17A-1027",0.0213645291355386,0.00146218370668021,0.0153908498891616,-0.00643002744695404,0.0362481257488948,0.013897794125321,0.00182274222869025,0.0198223536852541,0.0156434402802717,-0.000518321913707114,0.0519863388218404,0.0373750284176175,0.0401055255824239,0.0178283483084169,0.0151566637819435,0.00715344252174179,0.103915032144037,0.0331718270106105,0.0242314041011278
"5","MRC-17A-1045",0.0240194353974835,-0.000287038019016817,0.0257615664179757,0.00385235056756632,0.0546912005045938,0.0414056246020186,0.00583450997628111,0.00886963491294999,0.00931096606251361,0.00408161338067839,0.0440364501582464,0.0238940018375816,0.0351456018814684,0.0158520916435382,0.010625207897145,-0.000416820339037813,0.111753652558614,0.0385483114292929,0.0230866271486854
"6","MRC-18A-1356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","MRC-18A-1813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","MRC-18A-1819",0.0153125374156552,-0.000805080592568352,0.0584339819563969,0.00373240351181941,0.0333525369703232,0.0401405424503278,0.0149835095329484,0.00659055781673324,0.0114472403913384,0.000800400164646301,0.0323971443356754,0.0285679386274603,0.0410527400908821,0.0117624091380742,0.0162218179498802,0.00121224248935581,0.116866458207076,0.0336093310553547,0.00603476049722616
"9","MRC-18A-1821",0.337274865907386,0.140268654071065,0.635317766676941,-0.328305590873106,0.0626221731992705,NA,0.333978417009927,0.274507633216338,0.556757191731982,0.17122549909861,0.29950278856673,0.410015145149314,0.351605213299202,NA,0.19575317003204,-0.0625248871875609,0.942145914451911,0.641708808225696,0.318669294512756
"10","MRC-18A-2043",0.018927376997598,0.00445300078452639,0.00844404725960665,-0.000362992339118321,0.0432123508235582,0.041065350797166,0.00593896979535759,0.0152226318602609,0.0160082178858569,0.00497536513812451,0.0342511865952351,0.0311788722424259,0.0399754812847192,0.00828169361100373,0.00917297931103503,0.00263031290242061,0.110801511292438,-0.0403765584085967,0.0168388194929225
"11","MRC-18A-3529",0.0151108956202393,-0.00034204414000934,0.0374591877172185,-0.00669052098701754,0.0481229557959766,0.0285571102630141,0.0141335296820614,-0.00733514326998239,0.00704469159093688,0.00581427876986639,0.0540233306384248,0.0391421523124283,0.0405047225149821,0.00656086137679969,0.0237685649281021,0.00822720455573871,0.15603564511859,0.0946734278438446,0.00906104988073512
"12","MRC-18A-3811",0.109850385024135,0.00407441604541803,0.0217523696579193,0.00679647017223578,0.0459171109197674,0.00936556347247204,0.0114814424427695,0.0166906445188078,0.0221644003890527,0.00772126045251595,0.0516247096194442,0.0306823138970984,0.0409547014696143,0.0124519945468686,0.017399682146176,0.0112379658373782,0.132052967596101,0.0797175486791025,0.0136061339551875
"13","MRC-18A-3844",0.0146874133496788,-0.0109264599993604,0.027277682038877,0.00957271529951495,0.0472681069966326,0.0110328139784366,0.0104006605024539,0.0176541850999832,0.013363380570803,-4.25393683690151e-05,0.0444647448910466,0.0344654670112312,0.0429624804212699,0.0151357032206777,0.0148057476605004,0.00978748642990575,0.12660578726365,0.0823876539507225,0.023876107353784
"14","MRC-18A-2531",0.0220100676508691,0.00305519930399841,0.0133413349758729,-0.0090698571460723,0.0356125292885517,0.0226619240526604,0.0235045578636552,0.0126293850044794,0.00969161748942015,0.00389217070798276,0.0416384494382542,0.0245668138849679,0.0380945838894185,0.0120115792347229,0.0105819687315242,0.00418083978100237,0.121629404535566,-0.0207335357975095,0.0197399722289887
"15","MRC-18A-2884",0.0147273842673387,-0.000753367619039596,0.0139467981285777,-0.00595750748397453,0.0337543154043701,0.00153094239750366,-0.0013965794086706,0.0191165200829901,0.00661400283466427,-0.0464617370363154,0.0379301737255056,0.0501991239647136,0.0476134438514373,0.0108173417498524,0.0135411213836986,0.00367186734514657,0.134986309976552,0.0540527189474564,0.034318907785156
"16","MRC-18A-3241",0.0161741428986968,0.000808588963816775,0.0115008944048362,-0.000196168015056698,0.059797383060832,0.00622432463046761,0.0110614023923128,0.0109773755203073,0.017774680854695,-0.00123666612492811,0.0524588324972421,0.0412229655635794,0.0356171862944009,0.00553281163793932,0.0070079602521951,-0.00865089247641407,0.154813977521539,0.0842332561680904,0.028625427948199
